x;f(x)
-0.97000000;1.76897369
-0.96000000;1.74361840
-0.95000000;1.71914917
-0.94000000;1.69552442
-0.93000000;1.67270518
-0.92000000;1.65065488
-0.91000000;1.62933919
-0.90000000;1.60872581
-0.89000000;1.58878441
-0.88000000;1.56948633
-0.87000000;1.55080465
-0.86000000;1.53271395
-0.85000000;1.51519022
-0.84000000;1.49821079
-0.83000000;1.48175422
-0.82000000;1.46580023
-0.81000000;1.45032963
-0.80000000;1.43532420
-0.79000000;1.42076672
-0.78000000;1.40664082
-0.77000000;1.39293097
-0.76000000;1.37962241
-0.75000000;1.36670113
-0.74000000;1.35415379
-0.73000000;1.34196773
-0.72000000;1.33013086
-0.71000000;1.31863169
-0.70000000;1.30745926
-0.69000000;1.29660313
-0.68000000;1.28605335
-0.67000000;1.27580041
-0.66000000;1.26583523
-0.65000000;1.25614917
-0.64000000;1.24673393
-0.63000000;1.23758163
-0.62000000;1.22868469
-0.61000000;1.22003589
-0.60000000;1.21162831
-0.59000000;1.20345534
-0.58000000;1.19551064
-0.57000000;1.18778815
-0.56000000;1.18028205
-0.55000000;1.17298679
-0.54000000;1.16589703
-0.53000000;1.15900766
-0.52000000;1.15231378
-0.51000000;1.14581071
-0.50000000;1.13949393
-0.49000000;1.13335913
-0.48000000;1.12740217
-0.47000000;1.12161908
-0.46000000;1.11600604
-0.45000000;1.11055941
-0.44000000;1.10527567
-0.43000000;1.10015146
-0.42000000;1.09518356
-0.41000000;1.09036887
-0.40000000;1.08570443
-0.39000000;1.08118738
-0.38000000;1.07681499
-0.37000000;1.07258465
-0.36000000;1.06849385
-0.35000000;1.06454018
-0.34000000;1.06072135
-0.33000000;1.05703514
-0.32000000;1.05347944
-0.31000000;1.05005224
-0.30000000;1.04675160
-0.29000000;1.04357568
-0.28000000;1.04052270
-0.27000000;1.03759099
-0.26000000;1.03477894
-0.25000000;1.03208502
-0.24000000;1.02950778
-0.23000000;1.02704582
-0.22000000;1.02469783
-0.21000000;1.02246257
-0.20000000;1.02033884
-0.19000000;1.01832555
-0.18000000;1.01642162
-0.17000000;1.01462607
-0.16000000;1.01293797
-0.15000000;1.01135644
-0.14000000;1.00988068
-0.13000000;1.00850991
-0.12000000;1.00724345
-0.11000000;1.00608065
-0.10000000;1.00502092
-0.09000000;1.00406371
-0.08000000;1.00320856
-0.07000000;1.00245501
-0.06000000;1.00180270
-0.05000000;1.00125130
-0.04000000;1.00080053
-0.03000000;1.00045017
-0.02000000;1.00020003
-0.01000000;1.00005000
-0.00000000;1.00000000
0.01000000;1.00005000
0.02000000;1.00020003
0.03000000;1.00045017
0.04000000;1.00080053
0.05000000;1.00125130
0.06000000;1.00180270
0.07000000;1.00245501
0.08000000;1.00320856
0.09000000;1.00406371
0.10000000;1.00502092
0.11000000;1.00608065
0.12000000;1.00724345
0.13000000;1.00850991
0.14000000;1.00988068
0.15000000;1.01135644
0.16000000;1.01293797
0.17000000;1.01462607
0.18000000;1.01642162
0.19000000;1.01832555
0.20000000;1.02033884
0.21000000;1.02246257
0.22000000;1.02469783
0.23000000;1.02704582
0.24000000;1.02950778
0.25000000;1.03208502
0.26000000;1.03477894
0.27000000;1.03759099
0.28000000;1.04052270
0.29000000;1.04357568
0.30000000;1.04675160
0.31000000;1.05005224
0.32000000;1.05347944
0.33000000;1.05703514
0.34000000;1.06072135
0.35000000;1.06454018
0.36000000;1.06849385
0.37000000;1.07258465
0.38000000;1.07681499
0.39000000;1.08118738
0.40000000;1.08570443
0.41000000;1.09036887
0.42000000;1.09518356
0.43000000;1.10015146
0.44000000;1.10527567
0.45000000;1.11055941
0.46000000;1.11600604
0.47000000;1.12161908
0.48000000;1.12740217
0.49000000;1.13335913
0.50000000;1.13949393
0.51000000;1.14581071
0.52000000;1.15231378
0.53000000;1.15900766
0.54000000;1.16589703
0.55000000;1.17298679
0.56000000;1.18028205
0.57000000;1.18778815
0.58000000;1.19551064
0.59000000;1.20345534
0.60000000;1.21162831
0.61000000;1.22003589
0.62000000;1.22868469
0.63000000;1.23758163
0.64000000;1.24673393
0.65000000;1.25614917
0.66000000;1.26583523
0.67000000;1.27580041
0.68000000;1.28605335
0.69000000;1.29660313
0.70000000;1.30745926
0.71000000;1.31863169
0.72000000;1.33013086
0.73000000;1.34196773
0.74000000;1.35415379
0.75000000;1.36670113
0.76000000;1.37962241
0.77000000;1.39293097
0.78000000;1.40664082
0.79000000;1.42076672
0.80000000;1.43532420
0.81000000;1.45032963
0.82000000;1.46580023
0.83000000;1.48175422
0.84000000;1.49821079
0.85000000;1.51519022
0.86000000;1.53271395
0.87000000;1.55080465
0.88000000;1.56948633
0.89000000;1.58878441
0.90000000;1.60872581
0.91000000;1.62933919
0.92000000;1.65065488
0.93000000;1.67270518
0.94000000;1.69552442
0.95000000;1.71914917
0.96000000;1.74361840
0.97000000;1.76897369
0.98000000;1.79525947
0.99000000;1.82252320
1.00000000;1.85081572
1.01000000;1.88019148
1.02000000;1.91070894
1.03000000;1.94243084
1.04000000;1.97542470
1.05000000;2.00976324
1.06000000;2.04552486
1.07000000;2.08279428
1.08000000;2.12166310
1.09000000;2.16223057
1.10000000;2.20460438
1.11000000;2.24890160
1.12000000;2.29524968
1.13000000;2.34378767
1.14000000;2.39466752
1.15000000;2.44805567
1.16000000;2.50413475
1.17000000;2.56310567
1.18000000;2.62518987
1.19000000;2.69063212
1.20000000;2.75970357
1.21000000;2.83270546
1.22000000;2.90997341
1.23000000;2.99188242
1.24000000;3.07885288
1.25000000;3.17135761
1.26000000;3.26993027
1.27000000;3.37517556
1.28000000;3.48778133
1.29000000;3.60853344
1.30000000;3.73833388
1.31000000;3.87822298
1.32000000;4.02940702
1.33000000;4.19329268
1.34000000;4.37153046
1.35000000;4.56606989
1.36000000;4.77923046
1.37000000;5.01379375
1.38000000;5.27312450
1.39000000;5.56133191
1.40000000;5.88349580
1.41000000;6.24593549
1.42000000;6.65667080
1.43000000;7.12599189
1.44000000;7.66733596
1.45000000;8.29858995
1.46000000;9.04409862
1.47000000;9.93786818
1.48000000;11.02888701
1.49000000;12.39039792
1.50000000;14.13702964
1.51000000;16.45883795
1.52000000;19.69556426
1.53000000;24.52014181
1.54000000;32.47990482
1.55000000;48.10077654
1.56000000;92.71843692
1.57000000;1619.21538464
1.58000000;-108.83027560
1.59000000;-52.09762204
1.60000000;-34.25362769
1.61000000;-25.51725887
1.62000000;-20.33348408
1.63000000;-16.90170722
1.64000000;-14.46231300
1.65000000;-12.63937290
1.66000000;-11.22554947
1.67000000;-10.09711390
1.68000000;-9.17566129
1.69000000;-8.40909801
1.70000000;-7.76145894
1.71000000;-7.20711400
1.72000000;-6.72730459
1.73000000;-6.30798542
1.74000000;-5.93843166
1.75000000;-5.61031246
1.76000000;-5.31705828
1.77000000;-5.05341879
1.78000000;-4.81514761
1.79000000;-4.59847933
1.80000000;-4.40115054
1.81000000;-4.22046443
1.82000000;-4.05441800
1.83000000;-3.90131737
1.84000000;-3.75972035
1.85000000;-3.62839138
1.86000000;-3.50626581
1.87000000;-3.39242133
1.88000000;-3.28605495
1.89000000;-3.18646432
1.90000000;-3.09303246
1.91000000;-3.00521513
1.92000000;-2.92253048
1.93000000;-2.84455031
1.94000000;-2.77089282
1.95000000;-2.70121652
1.96000000;-2.63521501
1.97000000;-2.57261261
1.98000000;-2.51316062
1.99000000;-2.45663405
2.00000000;-2.40282891
2.01000000;-2.35155982
2.02000000;-2.30265788
2.03000000;-2.25596895
2.04000000;-2.21135203
2.05000000;-2.16867790
2.06000000;-2.12782791
2.07000000;-2.08869296
2.08000000;-2.05117251
2.09000000;-2.01517378
2.10000000;-1.98061101
2.11000000;-1.94740483
2.12000000;-1.91548166
2.13000000;-1.88477318
2.14000000;-1.85521591
2.15000000;-1.82675073
2.16000000;-1.79932258
2.17000000;-1.77288007
2.18000000;-1.74737521
2.19000000;-1.72276310
2.20000000;-1.69900173
2.21000000;-1.67605171
2.22000000;-1.65387612
2.23000000;-1.63244025
2.24000000;-1.61171152
2.25000000;-1.59165924
2.26000000;-1.57225456
2.27000000;-1.55347025
2.28000000;-1.53528066
2.29000000;-1.51766155
2.30000000;-1.50059005
2.31000000;-1.48404452
2.32000000;-1.46800450
2.33000000;-1.45245062
2.34000000;-1.43736453
2.35000000;-1.42272883
2.36000000;-1.40852701
2.37000000;-1.39474341
2.38000000;-1.38136316
2.39000000;-1.36837213
2.40000000;-1.35575687
2.41000000;-1.34350460
2.42000000;-1.33160314
2.43000000;-1.32004092
2.44000000;-1.30880688
2.45000000;-1.29789051
2.46000000;-1.28728177
2.47000000;-1.27697108
2.48000000;-1.26694931
2.49000000;-1.25720773
2.50000000;-1.24773800
2.51000000;-1.23853217
2.52000000;-1.22958261
2.53000000;-1.22088205
2.54000000;-1.21242354
2.55000000;-1.20420039
2.56000000;-1.19620626
2.57000000;-1.18843502
2.58000000;-1.18088084
2.59000000;-1.17353813
2.60000000;-1.16640152
2.61000000;-1.15946588
2.62000000;-1.15272629
2.63000000;-1.14617804
2.64000000;-1.13981660
2.65000000;-1.13363765
2.66000000;-1.12763704
2.67000000;-1.12181079
2.68000000;-1.11615508
2.69000000;-1.11066627
2.70000000;-1.10534085
2.71000000;-1.10017546
2.72000000;-1.09516690
2.73000000;-1.09031208
2.74000000;-1.08560806
2.75000000;-1.08105201
2.76000000;-1.07664123
2.77000000;-1.07237315
2.78000000;-1.06824529
2.79000000;-1.06425531
2.80000000;-1.06040094
2.81000000;-1.05668005
2.82000000;-1.05309059
2.83000000;-1.04963061
2.84000000;-1.04629827
2.85000000;-1.04309181
2.86000000;-1.04000957
2.87000000;-1.03704996
2.88000000;-1.03421152
2.89000000;-1.03149283
2.90000000;-1.02889260
2.91000000;-1.02640958
2.92000000;-1.02404263
2.93000000;-1.02179069
2.94000000;-1.01965279
2.95000000;-1.01762801
2.96000000;-1.01571555
2.97000000;-1.01391467
2.98000000;-1.01222471
2.99000000;-1.01064511
3.00000000;-1.00917536
